time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
44:51.1,3.01,Central California,reviewed,0,139,nc,21.0,0.5694,0.07,114.0,md,-118.7923333,37.4918333,11.549
46:46.3,2.51,"36km ESE of Bridgeport, California",reviewed,0,97,nc,52.0,0.1207,0.08,53.0,md,-118.8238333,38.1735,7.74
07:32.3,2.3,Nevada,reviewed,0,81,nn,36.0,0.002,0.1322,42.41,ml,-119.9309,39.5184,2.0
39:47.6,2.06,Northern California,reviewed,0,65,nc,11.0,0.1856,0.1,73.0,md,-122.3113333,40.7486667,-0.808
36:23.9,4.2,off the coast of Oregon,reviewed,0,271,us,,,,,mb,-129.345,44.254,33.0
31:56.6,3.45,Northern California,reviewed,0,183,nc,41.0,0.364,0.19,81.0,md,-122.0301667,39.1235,23.333
21:04.6,2.07,"1km WSW of Yucca Valley, California",reviewed,0,66,ci,0.0,,0.301,165.9,mc,-116.442,34.112,4.647
09:36.7,2.65,Central California,reviewed,0,108,nc,30.0,0.04955,0.16,142.0,md,-120.4025,36.2403333,11.894
29:19.4,2.54,Northern California,reviewed,0,99,nc,20.0,0.218,0.17,43.0,md,-122.1413333,40.426,21.855
32:16.0,2.92,"48km WSW of Carlsbad, CA",reviewed,0,131,ci,0.0,,0.277,190.4,ml,-117.816,32.984,5.756
46:48.0,2.42,"2km ESE of Alberto Oviedo Mota, B.C., MX",reviewed,0,90,ci,0.0,0.4868,0.287,241.4,mc,-115.148,32.22,5.98
10:42.6,2.2,Utah,reviewed,0,74,uu,8.0,0.2307,0.11,99.0,md,-111.3165,38.9953333,3.33
54:26.7,2.3,"12km SE of Bombay Beach, CA",reviewed,0,81,ci,0.0,,0.109,61.3,mc,-115.643,33.275,1.054
39:14.5,2.93,Central California,reviewed,0,132,nc,44.0,0.06126,0.06,106.0,md,-121.0918333,35.6615,3.687
45:29.8,2.16,"48km NNW of Stovepipe Wells, California",reviewed,0,72,ci,0.0,,0.178,248.4,mc,-117.443,36.968,3.5
56:30.3,4.2,"236km W of Crescent City, California",reviewed,0,271,us,44.0,,0.93,191.5,mb,-127.001,41.391,10.0
48:35.7,2.94,"11km N of Yucca Valley, California",reviewed,0,133,ci,0.0,,0.16,66.0,ml,-116.439,34.215,3.092
37:45.1,2.8,"6km NNW of San Jacinto, CA",reviewed,0,143,ci,158.0,0.02728,0.19,15.0,ml,-116.9731667,33.835,12.01
25:55.7,2.4,"11km NE of Delta, B.C., MX",reviewed,0,89,ci,11.0,0.3346,0.35,211.9,ml,-115.096,32.417,6.991
25:42.4,2.34,"3km S of Calimesa, CA",reviewed,0,84,ci,37.0,0.06191,0.24,58.0,mh,-117.0473333,33.9621667,18.26
44:13.4,2.6,"41km NE of Ensenada, B.C., MX",reviewed,0,104,ci,0.0,0.5715,0.189,0.0,mc,-116.273,32.094,5.632
52:18.5,2.4,"36km WSW of Encinitas, CA",reviewed,0,89,ci,35.0,0.3429,0.23,175.0,ml,-117.6565,32.9465,2.94
53:16.6,2.1,"50km WNW of Tonopah, Nevada",automatic,0,68,nn,20.0,0.382,0.15,98.97,ml,-117.769,38.2215,0.7
04:12.1,2.2,"7km WSW of Holtville, CA",reviewed,0,74,ci,0.0,0.0778,0.209,123.6,md,-115.452,32.785,13.94
15:16.0,2.16,offshore Northern California,reviewed,0,72,nc,13.0,0.3676,0.05,289.0,md,-124.8096667,40.5475,16.129
18:25.8,2.09,"16km WNW of Delta, B.C., MX",reviewed,0,67,ci,12.0,0.3983,0.35,217.0,ml,-115.359,32.399,6.0
